iri	label	definition	definitionXrefs	superClasses	part_of
http://purl.obolibrary.org/obo/CEPH_0000016	arm formula	The relative sizes of arms arranged according to their length. The largest arm is indicated first and the shortest last. An example arm formula is IV>III=II>I. Here arm IV is the largest, followed by arm III which is the same size as arm II and both are larger than arm I.	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	appendage trait	
http://purl.obolibrary.org/obo/CEPH_0000017	arm IV			arm	multi-cellular organism
http://purl.obolibrary.org/obo/CEPH_0000018	armature of the arms	The grappling structures on the oral surfaces the arms and tentacles, including both suckers and hooks. 	http://tolweb.org/accessory/Armature_of_Cephalopod_Arms?acc_id=2018	anatomical cluster|	circumoral appendage
http://purl.obolibrary.org/obo/CEPH_0000019	a-seriation	Type of cusp arrangement on the rachadian tooth of the radula: multiple cusps seem to move laterally when viewing successive rachadian teeth from adjacent rows. 	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	head trait	
http://purl.obolibrary.org/obo/CEPH_0000020	autotomy plane	Plane through an arm of an octopod that is predisposed to break when the arm is autotomized.	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	immaterial anatomical entity	
http://purl.obolibrary.org/obo/CEPH_0000021	basal shelf	See cirrate shell terminology. 	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	anatomical structure	
http://purl.obolibrary.org/obo/CEPH_0000023	beak	One of the two chitinous jaws of cephalopods. The dorsal beak is the &quot;upper&quot; beak and it inserts within the lower beak to tear tissue with a sissors-like cutting action.	http://tolweb.org/accessory/Cephalopod_Beak_Terminology?acc_id=1980	organism subdivision	multi-cellular organism
http://purl.obolibrary.org/obo/CEPH_0000024	beak step	A ridge on the lower beak where the rostral edge merges onto the lateral wall. In most beaks the merger is smooth. This is a characteristic feature of the Onychoteuthidae.	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	|anatomical structure	ventral beak
http://purl.obolibrary.org/obo/CEPH_0000028	branchial canal	A large opening at the base of each gill lamella and between the primary afferent and efferent blood vessels of the gill. A branchial canal is absent in <strong>Nautilus</strong> , sepioid decapodiformes and cirrate octopods.	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	anatomical structure	
http://purl.obolibrary.org/obo/CEPH_0000029	brachial crown	The combination of arms and tentacles that surround the mouth.	http://tolweb.org/accessory/Cephalopod_Brachial_and_Buccal_Crowns?acc_id=1957	anatomical cluster	multi-cellular organism
http://purl.obolibrary.org/obo/CEPH_0000030	brachial lobe of brain	The anterior-most part of the brain located ventral to the esophagus. The large axial nerve cords that run down the centers of the arms connect to this lobe. In octopods this lobe is fused with the rest of the subesophageal mass while in decapodiforms and <strong>Vampyroteuthis</strong> it is separate from the remaining brain.	http://tolweb.org/accessory/Cephalopod_Brain_Terminology?acc_id=1944	|lobe of brain	subesophageal mass of brain
http://purl.obolibrary.org/obo/CEPH_0000031	branchial gland	Elongate gland adjacent to and paralleling the gill where the gill attaches to the mantle wall.	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	gland	anatomical system
http://purl.obolibrary.org/obo/CEPH_0000032	branchial heart	A pulsating gland at the base of the gill and through which the afferent blood to the gills flows. It contributes to the blood flow through the gill but also is the site of hemocyanin (the blood respiratory pigment) synthesis. 	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	gland	anatomical system
http://purl.obolibrary.org/obo/CEPH_0000033	brachial photophore	Photophores located on the arms.	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	photophore	anatomical system
http://purl.obolibrary.org/obo/CEPH_0000034	brachial pillar	A very narrow and elongate anterior region of the head between the eyes and the base of the brachial crown. A branchial pillar is especially well developed in many young cranchiid squid.	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	anatomical structure	
http://purl.obolibrary.org/obo/CEPH_0000035	cephalopod brain	Medial portion of the central nervous system. It includes the subesophageal and supraesophageal masses but generally does not include the large optic lobes.	http://tolweb.org/accessory/Cephalopod_Brain_Terminology?acc_id=1944	brain	central nervous system
http://purl.obolibrary.org/obo/CEPH_0000036	brooding	Incubation of eggs by the parent. A characteristic feature of incirrate octopods but also found in some squid (e.g., Gonatidae).	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	reproductive trait	
http://purl.obolibrary.org/obo/CEPH_0000037	buccal connective	Muscular membrane that runs from the buccal support to the base of the adjacent arm. The position of the connective on the fourth arms was recognized in the early 20th century as an important character in interpreting phylogenetic relationships among decapodiforms.	http://tolweb.org/accessory/Cephalopod_Brachial_and_Buccal_Crowns?acc_id=1957	membranous layer	anatomical wall
http://purl.obolibrary.org/obo/CEPH_0000038	buccal crown	Umbrella-like structure that surrounds the mouth and is surrounded by the brachial crown. It consists of buccal supports and the buccal membrane. The buccal crown is present in most decapodiforms but absent from all octopodiforms.	http://tolweb.org/accessory/Cephalopod_Brachial_and_Buccal_Crowns?acc_id=1957	anatomical cluster	multi-cellular organism
http://purl.obolibrary.org/obo/CEPH_0000039	buccal mass	Muscular bulb at the beginning of the digestive system that contains the mouth, beaks, radula and various glands.	http://tolweb.org/accessory/Cephalopod_Digestive_System?acc_id=1993	|anatomical structure	digestive system
http://purl.obolibrary.org/obo/CEPH_0000040	buccal membrane	The muscular membrane that connects the buccal supports and together with the supports, forms the buccal crown. The pigmentation of the buccal membrane often differs from that of the adjacent oral surfaces of the arms.	http://tolweb.org/accessory/Cephalopod_Brachial_and_Buccal_Crowns?acc_id=1957	membranous layer||	anatomical wall|buccal crown|head
http://purl.obolibrary.org/obo/CEPH_0000041	buccal sucker	Small but normal suckers that are present on the oral surface of the buccal supports of some decapodiforms (bathyteuthid families, some loliginids and some sepiids).	http://tolweb.org/accessory/Cephalopod_Brachial_and_Buccal_Crowns?acc_id=1957	sucker	collection of suckers|external covering of organism
http://purl.obolibrary.org/obo/CEPH_0000044	bursa copulatrix	A spermatophore receptacle found in some sepiolids and consisting of folded glandular epithelium of the lining of the mantle cavity just anterior to the oviduct opening.	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	|cephalopod sperm receptacle	mantle cavity|gonad
http://purl.obolibrary.org/obo/CEPH_0000045	caecal sac	The sac-like, thin-walled posterior portion of the caecum that lacks the internal, ciliated leaflets characteristic of the anterior portion of the caecum.	http://tolweb.org/accessory/Cephalopod_Digestive_System?acc_id=1993	anatomical structure|	caecum
http://purl.obolibrary.org/obo/CEPH_0000046	caecum	Region of the digestive tract of all cephalopods between the stomach and intestine. It is the primary site of food absorption.	http://tolweb.org/accessory/Cephalopod_Digestive_System?acc_id=1993	|anatomical structure	digestive tract
http://purl.obolibrary.org/obo/CEPH_0000047	calcareous	Composed of calcium carbonate (CaCO3)	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	shell trait	
http://purl.obolibrary.org/obo/CEPH_0000048	calamus	The conical papilla of the end-organ of the hectocotylus in many incirrate octopods. It is located at the distal termination of the sperm groove and usually lies adjacent to the last arm sucker.	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	|male anatomical structure|reproductive structure|surface structure	end organ|external covering of organism
http://purl.obolibrary.org/obo/CEPH_0000050	cement body	Structure in the spermatophore that allows adhesion of the discharged spermatophore to a female.	http://tolweb.org/accessory/Cephalopod_Spermatophore_Terminology?acc_id=1972	|anatomical structure	spermatophore
http://purl.obolibrary.org/obo/CEPH_0000051	carpal sucker	Suckers in the locking apparatus at the base of the club.	http://tolweb.org/accessory/Cephalopod_Tentacle_Terminology?acc_id=1962	sucker|	collection of suckers|external covering of organism|carpal locking apparatus
http://purl.obolibrary.org/obo/CEPH_0000052	carpal knob	Knobs in the locking apparatus at the base of the club.	http://tolweb.org/accessory/Cephalopod_Tentacle_Terminology?acc_id=1962	|anatomical structure	carpal locking apparatus
http://purl.obolibrary.org/obo/CEPH_0000053	carpus	The region of the tentacle that contains the carpal locking-apparatus 	http://tolweb.org/accessory/Cephalopod_Tentacle_Terminology?acc_id=1962	|circumoral appendage segment	tentacular club
http://purl.obolibrary.org/obo/CEPH_0000054	carpal locking apparatus	The region at the base of the tentacular club which has small suckers and knobs. The carpal suckers and knobs of one tentacle can adhere to their counterparts on the opposite tentacle which, thereby, holds the clubs together at their bases.	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	|circumoral appendage segment	tentacular club
http://purl.obolibrary.org/obo/CEPH_0000055	cartilaginous tubercle	Rigid cartilagenous spines, with one or several cusps, in the skin of certain squids and octopods.	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	skeletal element projection|cephalopod tubercule|cartilage tissue	skeletal element
http://purl.obolibrary.org/obo/CEPH_0000056	cephalic cartilage	Cartilage surrounding the posterior part of the brain of cephalopods and generally encompasing the statocysts. Anteriorly the cartilage thins into facia making a well-defined limit difficult to establish. The cartilage has a large central foramen through which the esophagus passes and minor foramina for nerves and blood vessels.	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	cartilage tissue	skeletal element
http://purl.obolibrary.org/obo/CEPH_0000057	cephalic vein	Large vein that drains the head and lies on the ventral surface of the visceral sac, along side or dorsal to the intestine. The cephalic vein terminates by dividing into the two vena cavae, each of which passes through the &quot;kidney&quot; (nephridium), the branchial heart and into the gill.	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	vein	venous system|blood vasculature
http://purl.obolibrary.org/obo/CEPH_0000059	chitin	A mucopolysaccharide that is the major component of the cuticle (exoskeleton) of arthropods and a major component of the gladius and beaks of cephalopods (also found in many other phyla).	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	portion of organism substance	multi-cellular organism
http://purl.obolibrary.org/obo/CEPH_0000061	chromatophore	A pigment cell. In cephalopods the chromatophore is part of an organ composed of numerous cells including many slender muscle cells. Under nervous control, the muscles rapidly expand and flatten the pigment cell which spreads the pigment over a relatively broad area.	http://tolweb.org/accessory/Cephalopod_Chromatophore?acc_id=2038	pigment cell	
http://purl.obolibrary.org/obo/CEPH_0000062	circularis muscle	A circular muscle found in the suckers of most sepioids and loliginids that surrounds the sucker at the base of the horny ring.	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	muscle organ	musculature
http://purl.obolibrary.org/obo/CEPH_0000063	cirrate male reproductive system	The male reproductive tract of cirrates does not make typical spermatophores. As a result, the tract differs greatly from that of other coleoid cephalopods. 	http://tolweb.org/accessory/Cirrate_Male_Reproductive_Tract?acc_id=1486	male reproductive system	male organism
http://purl.obolibrary.org/obo/CEPH_0000064	cirrate octopod measurements	Measurements used in describing cirrates differ somewhat from other cephalopods. 	http://tolweb.org/accessory/Cirrate_Measurements_and_Indices?acc_id=1487	whole organism trait	
http://purl.obolibrary.org/obo/CEPH_0000066	arm cirrus	Muscular, conical structures that arise from the sides of the arms of some octopodiforms. Cirri are homologous with trabeculae of decapodiforms.	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	muscle organ||cirrus	arm|musculature|external covering of organism
http://purl.obolibrary.org/obo/CEPH_0000067	cephalopod coelom	An internal body cavity of mesodermal orgin that is lined by an epithelium. Cephalopods have two coeloms, the visceropericardial coelom and the nephridial coelom.	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	coelemic cavity lumen	
http://purl.obolibrary.org/obo/CEPH_0000068	collar	Muscular structure extending from the nuchal cartilage to the funnel that forms a one-way valve that lets water enter the mantle cavity but closes as the mantle contracts thereby forcing exhalent water out through the funnel.	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	mantle muscle|valve|	organ|musculature|mantle cavity
http://purl.obolibrary.org/obo/CEPH_0000069	photophore color filter	Structures that alter the color of bioluminescent light.	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	|anatomical structure	photophore
http://purl.obolibrary.org/obo/CEPH_0000072	conus	The cup or cone-shaped posterior end of the gladius or cuttlebone of some cephalopods. It is not formed by the infolding of the vanes.	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	|anatomical structure	gladius
http://purl.obolibrary.org/obo/CEPH_0000073	conus field	Lateral portions of the gladius that are continuous posteriorly with the primary conus or its remnant and laterally with the edges of the vanes.	http://tolweb.org/accessory/Cephalopod_Gladius_Terminology?acc_id=1955	|anatomical structure	gladius
http://purl.obolibrary.org/obo/CEPH_0000074	cornea	Smooth, thin, turgid, transparent skin without muscles that covers the eyes to protect the eye lenses of incirrate octopods and some decapodiforms.	http://tolweb.org/accessory/Cephalopod_Cornea?acc_id=2057	|anatomical structure	cephalopod eye
http://purl.obolibrary.org/obo/CEPH_0000075	counterillumination	The production of bioluminescent light by an animal to conceal its silhouette against the downwelling light. The process can allow an aninmal to become virtually invisible under dim directional light.	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	integument trait	
http://purl.obolibrary.org/obo/CEPH_0000076	crest of hectocotylus	In loliginids a protective membrane on the hectocotylized arm can fuse with the adjacent suckerless papillae (former sucker stalks) to form a crest on the dorsal or ventral margins such that the original form of the papillae is obscured.	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	membrane|	hectocotylus
http://purl.obolibrary.org/obo/CEPH_0000078	crop	Expansion (i.e. a broading or a side pocket) of the esophagus for storing food. Present in <strong>Nautilus</strong> and most octopodiforms.	http://tolweb.org/accessory/Cephalopod_Digestive_System?acc_id=1993	|anatomical structure	digestive tract
http://purl.obolibrary.org/obo/CEPH_0000079	ctenoglossan radula	Radula in which the lateral teeth are multicuspid.	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	radula	anatomical system
http://purl.obolibrary.org/obo/CEPH_0000080	cupped coil	The peculiar posterior end of the histioteuthis gladius that is rolled into a coil.	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	|anatomical structure	gladius
http://purl.obolibrary.org/obo/CEPH_0000081	cusp	A point or projection on a tooth of the radula or on a cartilagenous tubercule in the skin.	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	anatomical structure	
http://purl.obolibrary.org/obo/CEPH_0000082	cuttlebone	A calcareous oblong supporting part of the mantle of cuttlefishes		organism subdivision	multi-cellular organism
http://purl.obolibrary.org/obo/CEPH_0000083	dactylus	The narrow, distal portion of the tentacular club of most decapodiforms. In squids the dactylus is usually characterized by the ventral expansion of the club and the absence of a dorsal protective membrane.	http://tolweb.org/accessory/Cephalopod_Tentacle_Terminology?acc_id=1962	|circumoral appendage segment	tentacular club
http://purl.obolibrary.org/obo/CEPH_0000084	demersal	Living close to the ocean floor.	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	habitat trait	
http://purl.obolibrary.org/obo/CEPH_0000085	demibranch	A half-gill formed from all the primary gill lamellae on one side of the gill.	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	|anatomical structure	gill
http://purl.obolibrary.org/obo/CEPH_0000086	diel vertical migration	Vertical animal migration during twilight. Many mesopelagic animals migrate at sunrise from near-surface waters to spend the day at greater depths then return to shallow depths at sunset where they spend the night. Some animals migrate vertically over 1000 m others migrate less than 100 m.	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	habitat trait	
http://purl.obolibrary.org/obo/CEPH_0000087	digestive gland	Primary organ in cephalopods that secretes digestive enzymes. It is also important in absorption and excretion.	http://tolweb.org/accessory/Cephalopod_Digestive_System?acc_id=1993	gland of gut	digestive tract
http://purl.obolibrary.org/obo/CEPH_0000088	digestive gland duct appendages (digda)	Outpockets of the ducts leading from the digestive gland that are covered with glandular epithelium.	http://tolweb.org/accessory/Cephalopod_Digestive_System?acc_id=1993	|anatomical structure	digestive tract
http://purl.obolibrary.org/obo/CEPH_0000090	distal oviduct	An extension of the oviducal gland in octopods that often has the same general appearance as the oviduct proximal to the oviducal gland.	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	oviduct	female reproductive system
http://purl.obolibrary.org/obo/CEPH_0000091	doratopsis stage	Peculiar paralarval stage of the Chiroteuthidae. The paralarva is very slender and can reach a large size.	http://tolweb.org/accessory/Chiroteuthid_Doratopsis_Stage?acc_id=656	paralarval stage	
http://purl.obolibrary.org/obo/CEPH_0000093	dorsal mantle cavity	Dorsal portion of the mantle cavity that completely surrounds the viscera in octopods. In decapodiforms and <strong>Vampyroteuthis</strong> the viscera are fused to the mantle and shell dorsally and the mantle cavity lies lateral and ventral to the viscera. 	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	anatomical cavity|	mantle cavity
http://purl.obolibrary.org/obo/CEPH_0000094	efferent vein	vein carrying blood away from an organ.	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	vein	venous system|blood vasculature
http://purl.obolibrary.org/obo/CEPH_0000095	efferent nerve	nerve carring impulses away from the brain or specific ganglia.	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	nerve	peripheral nervous system
http://purl.obolibrary.org/obo/CEPH_0000096	egg mass	A large number of eggs encapsulated in a gelatinous matrix or a large number of such structures that are attached together. The egg mass of an oceanic squid can be a large, fragile gelatinous ball carrying many thousands of eggs. In contrast, the egg mass of a neritic squid (loliginid) can be composed of very tough capsules each carrying several hundred eggs with many capsules attached together at their bases and to the substrate to form an egg mass.	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	anatomical cluster	multi-cellular organism
http://purl.obolibrary.org/obo/CEPH_0000097	ejaculatory apparatus	Portion of the spermatophore involved in the eversion of the sperm mass.	http://tolweb.org/accessory/Cephalopod_Spermatophore_Terminology?acc_id=1972	reproductive structure|	reproductive system|spermatophore
http://purl.obolibrary.org/obo/CEPH_0000098	end organ	The tip of the hectocotylus in incirrate octopods consisting of a calamus and ligula presumably for manipulating the spermatophore during copulation.	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	male anatomical structure|reproductive structure|organ|	hectocotylus
http://purl.obolibrary.org/obo/CEPH_0000100	epithelial pigmentation	The pigmentation that is contained in epithelial cells which are unable to change their shape. Color in most cephalopods, however, is due to pigment granules that are contained in specialized organs, the chromatophore organs, that can change shape rapidly under nervous control. See chromatophores.	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	integument trait	
http://purl.obolibrary.org/obo/CEPH_0000102	eye pore	Small pore just anterior to the cornea in some decapodiforms. The pore is the remnant of the large eye opening of oegopsids and connects fluid between the lens and the cornea with the exterior environment.	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	anatomical structure	
http://purl.obolibrary.org/obo/CEPH_0000104	eyelid sinus	Indentation, often complex, of the anterior margin of the eyelid. 	http://tolweb.org/accessory/Cephalopod_Eyelid_Sinus?acc_id=1994	surface structure|	eyelid|external covering of organism
http://purl.obolibrary.org/obo/CEPH_0000105	fin angle	The angle between the longitudinal axis of the mantle and the posterior border of one fin.	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	fin trait	
http://purl.obolibrary.org/obo/CEPH_0000106	fin attachment	A fin attaches to the shell, the mantle, the opposite fin or some combination of these. 	http://tolweb.org/accessory/Cephalopod_Fin_Attachment?acc_id=1974	|anatomical structure	fin
http://purl.obolibrary.org/obo/CEPH_0000107	fin cartilage	Cartilage associated with the fins of all fin-bearing cephalopods. 	http://tolweb.org/accessory/Cephalopoda_Fin_Cartilage?acc_id=1969	|cartilage tissue	fin|skeletal element
http://purl.obolibrary.org/obo/CEPH_0000108	fin length	This measurement varies in different major taxa.       	http://tolweb.org/accessory/Cephalopod_Fin_Length?acc_id=2055	fin trait	
http://purl.obolibrary.org/obo/CEPH_0000109	fin lobe	The portion of a fin that extends anteriorly from the fin's anterior point of attachment or posteriorly from the fin's posterior point of attachment. This is often called the &quot;free&quot; lobe.	http://tolweb.org/accessory/Composite_Squid?acc_id=1936	|anatomical structure	fin
http://purl.obolibrary.org/obo/CEPH_0000110	fin position	Fins are located anterior to the termination of the muscular mantle (subterminal position) or mostly posterior to it (terminal position) or somewhere inbetween. 	http://tolweb.org/accessory/Cephalopod_Fin_Position?acc_id=2041	fin trait	
http://purl.obolibrary.org/obo/CEPH_0000111	fin shape	Fins are classified, somewhat arbitrarily, by their shape as Sagittate, Rhomboid, Circular/Elliptical, Lanceolate, Ear-shaped, Ribbed, Lobate or skirt-like. 	http://tolweb.org/accessory/Decapodiform_Fin_Shapes?acc_id=2029	fin trait	
http://purl.obolibrary.org/obo/CEPH_0000112	fin	A muscular flap that arises along the lateral or dorsolateral surface of the mantle of some cephalopods. Used for locomotion, steering and stabilization		surface structure	external covering of organism
http://purl.obolibrary.org/obo/CEPH_0000114	foveola	Transverse membranous fold of skin that forms a pocket in the funnel groove of ommastrephid squids.	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	membranous layer|	anatomical wall|funnel groove
http://purl.obolibrary.org/obo/CEPH_0000116	funnel	The ventral, muscular tube through which water is expelled from the mantle cavity. The funnel is thought to have evolved from the molluscan foot.	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	tube	multi-cellular organism
http://purl.obolibrary.org/obo/CEPH_0000117	funnel groove	Depression on the posteroventral surface of the head in which the funnel lies. Most distinct in some squids.	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	|surface structure	funnel|external covering of organism
http://purl.obolibrary.org/obo/CEPH_0000118	funnel-mantle locking-apparatus	The funnel component (generally cartilagenous) of a locking mechanism between the funnel and mantle. This lock, depending on its form, can either limit all movement between the funnel and mantle or allow just anterior-posterior slipping. See Mantle locking-apparatus.	http://tolweb.org/accessory/Cephalopod_Funnel_Locking-Apparatus?acc_id=1973	|cartilage tissue	funnel|skeletal element
http://purl.obolibrary.org/obo/CEPH_0000119	funnel organ	The glandular structures on the internal dorsal and ventral surfaces of the funnel.	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	|organ	anatomical system|funnel
http://purl.obolibrary.org/obo/CEPH_0000120	funnel retractor muscle	Large muscles that attach to the corners of the funnel and run posteriorly to attach to the sides of the shell sac (generally near the base of the gills) or, in a some species, insert on the mantle wall.	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	|muscle organ	musculature|funnel
http://purl.obolibrary.org/obo/CEPH_0000121	funnel valve	Semicircular muscular flap extending from and continuous with the posterodorsal funnel wall. The funnel valve apparently acts as a one-way valve to prevent inspiration of water through the funnel when mantle expansion draws in water to pass over the gills for respiration. A funnel valve in absent in octopods and some squids.	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	|valve|	organ|musculoskeletal system|funnel
http://purl.obolibrary.org/obo/CEPH_0000122	gill	Primary organ for the exchange of respiratory gases between blood and         sea water.	http://tolweb.org/articles/?article_id=4200	anatomical structure	
http://purl.obolibrary.org/obo/CEPH_0000123	gill lamella	A complex gill leaflet that extends perpendicular to the axis of the gill and contains the respiratory epithelium. The lamella contains further subdivisions, the secondary and tertiary lamellae. In octopods the number of lamellae is a taxonomic character.	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	|anatomical structure	gill
http://purl.obolibrary.org/obo/CEPH_0000124	gladius	The chitinous remnant of the shell in many decapodiforms and <strong>Vampyroteuthis</strong>. It is generally feather-shaped and lies in the dorsal mid-line of the body along the full length of the mantle. The gladius lies within the shell sac which secretes it.	http://tolweb.org/accessory/Cephalopod_Gladius_Terminology?acc_id=1955	organism subdivision	multi-cellular organism
http://purl.obolibrary.org/obo/CEPH_0000126	half-orange gill	Gills of some cirrate octopods with broad primary lamellae whose arrangement looks similar to half of an orange. 	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	gill	
http://purl.obolibrary.org/obo/CEPH_0000127	hatchling stage	Young cephalopod that has just hatched from the egg.	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	life cycle stage	
http://purl.obolibrary.org/obo/CEPH_0000129	head-mantle fusion	.	http://tolweb.org/accessory/Cephalopod_Dorsal_Head-Mantle_Fusion?acc_id=2020	whole organism trait|head trait	
http://purl.obolibrary.org/obo/CEPH_0000130	hectocotylus	The modified arm in males used for transferring spermatophores to the female. In incirrates the hectocotylus is one member of arm pair III while in decapodiforms frequently one or both members of arm pair IV are modified. Many species of coleoid cephalopods lack a hectocotylus.	Wikipedia:Hectocotylus,http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	intromittent organ|arm	male reproductive system
http://purl.obolibrary.org/obo/CEPH_0000131	heterodont radula	Radula with more than one cusp on the rhachidian tooth and, usually, the first lateral tooth.	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	radula	anatomical system
http://purl.obolibrary.org/obo/CEPH_0000132	homodont radula	Radula with a single cusp on all teeth.	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	radula	anatomical system
http://purl.obolibrary.org/obo/CEPH_0000134	hook	Horny structure that looks like a single claw and is derived from the inner sucker ring in some decapodiforms. Hooks may be found on the arms and/or tentacular clubs of squid. The relative advantage of hooks vs toothed rings is uncertain.	http://tolweb.org/accessory/Cephalopod_Hooks?acc_id=1983	|anatomical structure	circumoral appendage
http://purl.obolibrary.org/obo/CEPH_0000135	horizontal arm septum	Septa, extending the length of the arm (i.e., parallel to the arm axis), that roughly divides the arm into oral and aboral regions. This feature is a characteristic of the arms of cirrate octopods and the incirrate octopods of the family Bolitaenidae. The functional significance is unknown.	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	septum|	arm
http://purl.obolibrary.org/obo/CEPH_0000136	sucker ring	A chitinous ring that encircles a sucker. Found in cuttlefishes and squids		anatomical structure	
